ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 14:09:01.382000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 14:08:01.385000,
ITC Bot experimental#9136,😴,2021-04-19 14:06:49.830000,
kyoichi#8214,!stop,2021-04-19 14:06:49.257000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 14:05:51.476000,
ITC Bot experimental#9136,Bot休止了,2021-04-19 14:04:37.990000,
kyoichi#8214,!stop,2021-04-19 14:04:37.540000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 14:04:12.791000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 14:03:12.772000,
ITC Bot experimental#9136,"Farewell, everyone",2021-04-19 14:02:09.798000,
kyoichi#8214,!stop,2021-04-19 14:02:09.264000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 14:01:30.129000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 14:00:30.113000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 13:59:30.100000,
ITC Bot experimental#9136,Bot has been stoped.,2021-04-19 09:55:35.045000,
kyoichi#8214,!stop,2021-04-19 09:55:34.428000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 09:55:11.397000,
ITC Bot experimental#9136,😴,2021-04-19 09:54:06.408000,
kyoichi#8214,!stop,2021-04-19 09:54:05.905000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 09:53:42.505000,
ITC Bot experimental#9136,Bot休止了,2021-04-19 09:52:01.563000,
kyoichi#8214,!stop,2021-04-19 09:52:01.112000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 09:51:37.788000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 09:50:37.617000,
ITC Bot experimental#9136,Bot has been stoped.,2021-04-19 09:48:01.084000,
kyoichi#8214,!stop,2021-04-19 09:48:00.534000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 09:47:44.387000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 09:46:44.435000,
ITC Bot experimental#9136,さよなら…さよなら…,2021-04-19 09:45:28.016000,
kyoichi#8214,!stop,2021-04-19 09:45:27.650000,
ITC Bot experimental#9136,"Farewell, everyone",2021-04-19 09:45:15.403000,
kyoichi#8214,!stop,2021-04-19 09:45:14.938000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 09:45:03.129000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 09:45:02.807000,
kyoichi#8214,!stop,2021-04-19 09:44:53.374000,
